S No,Station Name,Stn Code,Old Station Category,New Station Category,Division,Zone,District,State,Station (bn),date of official opening,operator,connecting line,coordinate location
776,SANKRAIL,SEL,,,KGP,SER,HOWRAH,WEST BENGAL,সাঁকরাইল,1900,Kharagpur railway division,Howrah–Kharagpur line,22.5613094942/88.2090743463
777,SHYAM CHAK,SMCK,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,শ্যাম চক,,Kharagpur railway division,Howrah–Kharagpur line,22.363451/87.500479
778,TAMLUK,TMZ,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,তমলুক জংশন,1968,Kharagpur railway division,Panskura–Haldia branch line-Tamluk–Digha branch line,22.275813/87.919144
779,TIKIAPARA,TPKR,,,KGP,SER,HOWRAH,WEST BENGAL,টিকিয়াপাড়া,1900,Kharagpur railway division,Howrah–Kharagpur line,22.5986/88.3243
780,ULUBARIA,ULB,,,KGP,SER,HOWRAH,WEST BENGAL,উলুবেড়িয়া,1900,Kharagpur railway division,Howrah–Kharagpur line,22.472428/88.093209
781,NIMPURA,NMP,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,নিমপুরা,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.325255/87.265053
782,BALTIKURI,BALT,,,KGP,SER,HOWRAH,WEST BENGAL,বাল্টিকুরি,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6094046/88.296114
783,BEGUNKODAR,BKDR,,,RNC,SER,PURULIA,WEST BENGAL,বেগুনকোদর,1960,Ranchi railway division,Purulia–Ranchi Line,23.3875/86.0217
784,JHALIDA,JAA,,,RNC,SER,PURULIA,WEST BENGAL,ঝালদা,,Ranchi railway division,Purulia–Ranchi Line,23.370167/85.97484
785,ILLOO,ILO,,,RNC,SER,PURULIA,WEST BENGAL,,,,,
786,SUISA,SSIA,,,RNC,SER,PURULIA,WEST BENGAL,সুইসা,,Ranchi railway division,Muri–Chandil branch line,23.196775/85.909013
787,TORANG,TRAN,,,RNC,SER,PURULIA,WEST BENGAL,তোরাং,,Ranchi railway division,Muri–Chandil branch line,23.26814/85.858638
788,TULIN,THO,,,RNC,SER,PURULIA,WEST BENGAL,তুলিন,,Ranchi railway division,Purulia–Ranchi Line,23.378363/85.902125
9,CHURULIA,CRA,F,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,?????????,,Eastern Railway,Andal-Sainthia branch line,
10,GOURANDI,GNI,F,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,????????,,Eastern Railway,Asansol-Adra line,
12,HINDUSTAN CABLE FY.,HCF,NA,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,??????????? ???? ?????????,,Eastern Railway,,
51,TAKIPUR HALT,TKPH,F,HG2,HWH,ER,HOOGHLY,WEST BENGAL,??????? ????,,Eastern Railway,Howrah-Bardhaman chord,
63,ISLAMPARA HALT,IPRA,F,HG3,HWH,ER,HOOGHLY,WEST BENGAL,?????????? ????,,Eastern Railway,Bandel-Katwa line,
69,KAZIPARA HALT,KZPE,F,HG3,HWH,ER,MURSHIDABAD,WEST BENGAL,????????? ????,,Eastern Railway,Barharwa-Azimganj-Katwa loop,
80,BHADRESHWAR GHAT,BHAE,NA,,HWH,ER,HOOGHLY,WEST BENGAL,????????? ???,,Eastern Railway,,
82,RAMKISTOPORE,RKAE,NA,,HWH,ER,HOWRAH,WEST BENGAL,???????????,,Eastern Railway,,
240,BALLALPUR,BPBS,E,NSG6,MLDT,ER,MURSHIDABAD,WEST BENGAL,?????????,,Eastern Railway,Barharwa-Azimganj-Katwa loop,
263,COOPERS HALT,CPHT,F,HG3,SDAH,ER,NADIA,WEST BENGAL,??????? ????,,Eastern Railway,Ranaghat-Bangaon line,
282,MATNIA ANANTAPU,MNAP,F,HG3,SDAH,ER,24 PARAGANAS NORTH,WEST BENGAL,????????? ????????,,Eastern Railway,Barasat-Hasnabad line,
295,SHANTINAGAR HAL,SNTR,F,HG3,SDAH,ER,NADIA,WEST BENGAL,????????? ????,,Eastern Railway,Sealdah-Ranaghat line,
305,CHITPUR,CP,NA,,SDAH,ER,KOLKATA,WEST BENGAL,??????,,Eastern Railway,Calcutta Chord link line,
306,COSSIPORE ROAD,CED,NA,,SDAH,ER,KOLKATA,WEST BENGAL,??????? ???,,Eastern Railway,Calcutta Chord link line,
307,KANKURGACHHI ROAD JN,KGK,C,,SDAH,ER,KOLKATA,WEST BENGAL,??????????? ??? ????,,Eastern Railway,Sealdah South section,
308,KIDDERPORE DOCKS,C,C,,SDAH,ER,KOLKATA,WEST BENGAL,???????? ??,,Eastern Railway,,
309,NASHIPUR ROAD H,NSO,F,,SDAH,ER,MURSHIDABAD,WEST BENGAL,?????? ??? ????,,Eastern Railway,Jiaganj-Azimganj connection,
370,BIRA,BIRA,C,SG3,SDAH,ER,24 PARAGANAS NORTH,WEST BENGAL,????,,Eastern Railway,Sealdah-Bangaon line,22.8055/88.6253
422,KomagataMaruBGB,KBGB,C,SG3,SDAH,ER,24 PARAGANAS SOUTH,WEST BENGAL,???????????? ????,1890,Eastern Railway,Sealdah South section,22.4839/88.1729
502,GUMANIHAT,GUZ,E,NSG6,APDJ,NFR,COOCHBEHAR,WEST BENGAL,?????????,,Northeast Frontier Railway,New Jalpaiguri-New Bongaigaon section,
544,SRIPUR HALT,SRPU,F,HG3,KIR,NFR,MALDAH,WEST BENGAL,??????? ????,,Northeast Frontier Railway,,
612,MATHNASHIPUR PH,MTIP,F,HG2,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,????????? ?????,,South Eastern Railway,Bankura-Masagram line,
623,BIKNA PH,BKNO,F,HG3,ADRA,SER,BANKURA,WEST BENGAL,????? ?????,,South Eastern Railway,Bankura-Masagram line,
624,BOKRA PH,BOKA,F,HG3,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,?????? ?????,,South Eastern Railway,Bankura-Masagram line,
634,MUSTAPHA CHAK,MFCK,F,HG3,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,???????? ??,,South Eastern Railway,Bankura-Masagram line,
657,BOWAICHANDI PH,BWCN,F,NSG6,ADRA,SER,PURBA BARDHAMAN,WEST BENGAL,??????????? ?????,,South Eastern Railway,Bankura-Masagram line,
711,HALDIA DOCK COMP. GE,HDCG,NA,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,??????? ?? ?????????,,South Eastern Railway,Panskura-Haldia line,
712,KHARAGPUR WORKSHOP,KGPW,NA,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,???????? ?????????,,South Eastern Railway,,
713,HOWRAH SOUTH N C,HWHS,A1,NSG1,KGP,SER,HOWRAH,WEST BENGAL,?????? ????,,South Eastern Railway,,
719,BELDA,BLDA,D,NSG5,KGP,SER,MEDINIPUR WEST,WEST BENGAL,?????,,South Eastern Railway,Kharagpur-Puri line,21.9056/87.3508
739,AMTA,AMTA,A,SG3,KGP,SER,HOWRAH,WEST BENGAL,????,,South Eastern Railway,Santragachi-Amta branch line,22.5833/88.0167
763,KOLAGHAT,QGT,C,SG3,KGP,SER,MEDINIPUR EAST,WEST BENGAL,???????,1900,South Eastern Railway,Howrah-Kharagpur line,22.4284/87.8765
785,ILLOO,ILO,E,NSG6,RNC,SER,PURULIA,WEST BENGAL,?????,,South Eastern Railway,Muri-Chandil line,
